gene	gene_betweeness	gene_degree
1700006A11RIK	0.0	1
1810055G02RIK	5.970990908684521e-08	3
2010300C02RIK	0.0	1
2310035C23RIK	0.0	1
2700060E02RIK	0.0	1
5830415F09RIK	0.0	1
A1BG	0.000136928847581338	12
A1CF	6.516474785990128e-06	9
A2M	0.0010277286631486331	91
A2ML1	9.33658975113213e-06	6
A4GALT	7.464023668726418e-06	6
A4GNT	2.1100651423422282e-05	19
AAAS	3.8241340013647536e-05	11
AAC3	0.0	1
AACS	1.0473201499410795e-06	5
AAED1	2.0937108197958145e-06	2
AAGAB	2.6390751416802248e-05	15
AAK1	1.172679106801851e-05	6
AAMDC	9.712450303493274e-06	5
AAMP	3.374714416615677e-05	27
AANAT	7.143966491250736e-07	3
AAR2	0.00017801576095050883	21
AARS	6.0887238616202625e-05	51
AARS2	5.39702421553614e-05	13
AARSD1	4.786739013530255e-05	47
AASDHPPT	0.00024682670259129315	29
AASS	6.512559193045016e-06	6
AATF	0.00017985907664889888	56
AATK	7.885843303287027e-06	17
ABAT	5.727584327047888e-05	29
ABCA1	4.916962503706368e-05	25
ABCA10	0.0	2
ABCA13	6.143448801849182e-06	4
ABCA2	5.841666709534927e-06	5
ABCA3	1.029576623086237e-05	10
ABCA4	0.0	1
ABCA5	4.0150328523823055e-07	2
ABCA6	0.0	1
ABCB1	7.478074356420199e-05	14
ABCB10	2.798207415238828e-05	12
ABCB11	5.040830445408672e-06	5
ABCB4	0.0001042133813094084	2
ABCB6	1.3195974605357179e-05	12
ABCB7	1.9513031829651475e-05	22
ABCB8	8.384801238710504e-06	12
ABCB9	0.0	1
ABCC1	5.053140072100083e-05	49
ABCC10	3.5004136841140646e-07	3
ABCC12	0.0	1
ABCC13	0.0	1
ABCC2	7.62510280932812e-05	45
ABCC3	1.4623485807149998e-06	9
ABCC4	2.817116509287182e-05	12
ABCC5	1.352638979411717e-05	7
ABCC6	6.512427973708014e-07	5
ABCC8	6.888746532658903e-08	2
ABCC9	5.421818964644592e-09	2
ABCD1	0.00031431229702568044	20
ABCD2	5.649347919121461e-05	5
ABCD3	0.00016227685446233104	50
ABCD4	2.2667258069343715e-07	3
ABCE1	0.0014543121102473828	231
ABCF1	0.0001417002949100412	51
ABCF2	2.6137674051391736e-05	35
ABCF3	3.098137171280352e-05	20
ABCG1	0.0	1
ABCG2	0.0	1
ABCG4	0.0	1
ABCG5	1.373615525272907e-06	2
ABCG8	6.4536786451186525e-06	8
ABHD1	0.0	1
ABHD10	8.59482629187875e-06	7
ABHD11	1.5680047956620003e-06	4
ABHD12	1.4666161506080826e-06	3
ABHD12B	0.0	1
ABHD14A	7.3606514021048815e-06	14
ABHD14B	0.0	1
ABHD16A	8.519331318665082e-05	18
ABHD17A	6.2303468246189785e-06	5
ABHD17B	1.198169276199395e-06	2
ABHD3	7.974868605102344e-07	3
ABHD4	4.066945542250765e-08	2
ABHD5	4.409186054561936e-05	3
ABHD6	8.487680715979075e-08	2
ABI1	8.069876366982618e-05	39
ABI2	0.0003318123683022669	73
ABI3	5.086853251246663e-05	36
ABI3BP	8.657850532167177e-06	8
ABL1	0.0018637354885630273	180
ABL2	0.00013322127512867526	35
ABLIM1	9.925644256231103e-05	28
ABLIM2	8.989982995238615e-07	4
ABLIM3	5.22579368537197e-06	7
ABO	2.9899770224955893e-06	3
ABR	4.8899501685374356e-05	13
ABRA	2.6286666269485393e-07	4
ABRACL	0.0	1
ABT1	1.921834631888804e-05	14
ABTB1	1.3689299676007409e-06	5
ABTB2	3.326302149805384e-07	5
ABZ2	0.0	1
ACAA1	1.2989182371977033e-05	25
ACAA2	0.0001315894873147411	51
ACACA	0.00025189163913794045	66
ACACB	8.321774161594633e-06	4
ACAD10	2.555219185781865e-05	11
ACAD11	2.394169511865938e-05	18
ACAD8	2.625149318318504e-05	7
ACAD9	1.1931190614288784e-05	19
ACADL	5.351463516982584e-07	3
ACADM	8.213403646317276e-05	49
ACADS	3.8983913262646265e-06	5
ACADSB	0.00010983205023796083	7
ACADVL	6.311496156243038e-05	22
ACAN	4.436783393154554e-06	6
ACAP1	2.580385950230668e-06	4
ACAP2	1.2541270693883644e-06	4
ACAP3	2.2372023520178597e-08	2
ACAT1	0.00017264260754045645	63
ACAT2	3.8321056762977254e-05	38
ACBD3	0.00014136214738912968	24
ACBD4	1.209303404406118e-06	2
ACBD5	1.841642068020342e-06	6
ACBD6	2.050000935228513e-06	3
ACCS	2.5049324904354574e-08	4
ACD	0.00028857956610696536	63
ACE	3.914929956384727e-06	6
ACE2	2.9821694929291044e-06	7
ACER3	1.11454058583584e-06	2
ACHE	1.4554833611600574e-06	2
ACIN1	0.00022725521492213805	87
ACKR1	8.227262906218838e-08	2
ACKR2	0.0003111575377527045	8
ACKR3	5.510566472531969e-07	5
ACKR4	0.0	1
ACLY	0.00021053047522349104	55
ACMSD	0.0	1
ACN9	0.00010421338130940842	2
ACO1	6.346965070383437e-05	19
ACO2	5.166070371214507e-05	30
ACOT1	2.2645488924159745e-06	4
ACOT11	7.678666519753551e-08	4
ACOT13	7.529414023003394e-05	24
ACOT2	7.010147438180307e-07	5
ACOT4	0.0	1
ACOT7	8.441698555815318e-05	25
ACOT8	1.0600231742351597e-05	10
ACOT9	3.3862843440994275e-05	16
ACOX1	1.761439161612916e-05	20
ACOX2	0.0	1
ACOX3	3.536709779148937e-06	5
ACOXL	0.0	1
ACP1	0.00013563809055266285	27
ACP2	0.00015728438631841684	16
ACP5	1.1905367832508071e-05	11
ACP6	3.0041311957330638e-06	10
ACPP	1.0034057269027378e-05	7
ACR	2.699335181028962e-07	2
ACSBG1	0.0	2
ACSBG2	0.0	1
ACSF2	5.353911155466947e-07	4
ACSF3	1.3509484665851449e-05	6
ACSL1	2.9662134002402765e-06	5
ACSL3	2.2092643585488496e-05	20
ACSL4	6.237555173185165e-05	15
ACSL6	0.0	2
ACSM3	0.0	1
ACSM5	0.0	1
ACSS1	2.3275760555657754e-07	2
ACSS2	3.119988389086812e-08	4
ACSS3	0.0	1
ACT5C	2.454048659944123e-07	3
ACTA1	0.0010771302966454367	109
ACTA2	0.00042472648671636784	79
ACTB	0.003320233724497074	228
ACTBL2	8.229368955245125e-05	32
ACTC1	2.8237140831776356e-05	30
ACTG1	0.00046368789365534884	102
ACTG2	7.614238733378746e-06	14
ACTL6A	0.0003748387931965184	99
ACTL6B	3.832829883729299e-05	18
ACTL7A	7.136715326225591e-07	2
ACTL7B	0.0	1
ACTL8	0.0	1
ACTN1	0.0006888555087077651	110
ACTN2	0.00024635454564851135	62
ACTN3	2.4197876718108436e-05	20
ACTN4	0.0004145009996230645	91
ACTR10	1.249197518690656e-05	20
ACTR1A	0.00020156657086679806	48
ACTR1B	0.0001470120324804483	43
ACTR2	0.00035408824120005777	79
ACTR3	8.205690972624917e-05	63
ACTR3B	0.00010563879583642005	15
ACTR3C	0.0	1
ACTR5	1.3322164309612386e-05	18
ACTR6	3.9218651359809285e-06	15
ACTR8	0.00012279401068043848	22
ACVR1	0.0006409106311945687	68
ACVR1B	0.00042958818278361003	36
ACVR1C	0.0	1
ACVR2A	4.894549376902082e-05	22
ACVR2B	0.00018309120212722056	27
ACVRL1	4.990582608657255e-05	15
ACY1	0.00012900057418545238	21
ACY3	0.00012353783310615522	16
ACYP1	0.0	1
ACYP2	1.2793231910374574e-07	2
ADA	9.658888056546079e-05	16
ADAD2	0.0	1
ADAL	3.137483154601817e-07	3
ADAM10	0.00015782079496753427	18
ADAM11	1.7543544293747857e-07	2
ADAM12	2.0408171915539284e-06	5
ADAM15	7.289549375923378e-05	31
ADAM17	2.461345811421808e-05	11
ADAM19	9.925748400644118e-08	3
ADAM1A	0.0	1
ADAM2	5.535515311860941e-07	3
ADAM20	0.0	1
ADAM22	2.3196592274892084e-05	7
ADAM23	0.0	1
ADAM33	1.5044603057052609e-05	4
ADAM8	0.0	1
ADAM9	2.564270255473089e-05	13
ADAMTS1	2.283149482079185e-05	13
ADAMTS10	1.8992782470806743e-06	7
ADAMTS12	4.922983719312201e-06	10
ADAMTS17	0.0	1
ADAMTS2	7.020340313143124e-06	9
ADAMTS4	1.26441181554528e-06	3
ADAMTS6	1.9468084616203604e-06	2
ADAMTSL2	0.0	1
ADAMTSL3	2.2912145375202738e-06	6
ADAMTSL4	0.0005887446183600722	107
ADAMTSL5	7.472803844893432e-06	4
ADAP1	5.470317272226789e-05	16
ADAP2	2.083822009341156e-05	11
ADAR	2.7678090715688283e-05	39
ADARB1	9.807988304320717e-06	20
ADARB2	2.3237375371340155e-07	5
ADAT1	1.9484278952102017e-06	3
ADAT2	1.4372632745722367e-05	3
ADAT3	1.981995589336949e-07	3
ADCK1	8.317356704256497e-06	6
ADCK2	0.0	1
ADCK3	0.0001259815539826139	13
ADCK4	2.954120490286289e-07	3
ADCK5	1.2946480820757644e-05	5
ADCY2	0.0	1
ADCY3	8.647251789666291e-06	4
ADCY4	0.0	1
ADCY5	0.000632272440082857	14
ADCY6	4.1559455769843686e-05	8
ADCY7	2.2753018183550787e-07	3
ADCY8	4.537311362430047e-07	2
ADCY9	1.1039680151413806e-05	8
ADCYAP1	0.00017663271822080648	21
ADCYAP1R1	0.0	1
ADD1	0.00012159272562849717	28
ADD2	1.7469884370118822e-05	7
ADD3	2.7722980256483576e-05	12
ADE13	0.0	1
ADE16	0.0	1
ADE17	0.0	1
ADE2	0.0	1
ADE3	0.0	1
ADE4	0.0	1
ADE5,7	0.0	1
ADH1A	2.9697159485568118e-08	2
ADH1B	7.027283004227339e-05	7
ADH1C	1.2496192126502162e-08	2
ADH4	6.140449069801699e-07	3
ADH5	0.00014390352019125343	19
ADH6	1.3466017088436838e-06	8
ADH7	0.0	4
ADHFE1	5.768301355213419e-07	2
ADI1	2.8076954302577363e-05	17
ADIPOQ	3.1406139370499246e-06	6
ADIPOR1	3.8266747506163036e-05	11
ADIPOR2	2.23230321173246e-07	3
ADIRF	2.503208019566666e-08	2
ADK	0.00018879253012685533	15
ADM	0.0	1
ADNP	4.29776496938682e-05	31
ADNP2	1.1742551976674468e-05	8
ADO	5.3999906159829225e-08	2
ADORA1	9.132376682258703e-06	7
ADORA2A	0.00022141269800648818	9
ADORA2B	3.220617349659872e-06	4
ADORA3	4.1604108441729285e-06	12
ADPGK	5.3335272687871325e-06	7
ADPRH	1.6438298633875725e-06	4
ADPRHL2	4.582696043844408e-06	10
ADRA1B	2.8079666897202394e-07	2
ADRA1D	3.9577036486590805e-05	13
ADRA2A	3.6032128557932267e-06	9
ADRA2B	5.384066589979495e-08	3
ADRA2C	5.384066589979495e-08	3
ADRB1	8.660305145350213e-06	8
ADRB2	0.002849287426305523	243
ADRB3	9.63922558743338e-08	2
ADRBK1	0.00026660008592456925	46
ADRBK2	3.989846907430442e-06	7
ADRM1	0.00015722662789941028	64
ADSL	0.00010180569923908638	49
ADSS	4.507730553260728e-05	40
ADSSL1	4.7395543905472304e-08	2
ADTRP	0.0	1
AEBP1	0.0	1
AEBP2	3.0295217768275926e-05	19
AEN	3.0957062405899826e-05	33
AES	0.0010971059218032263	141
AFAP1	3.361441531436257e-06	11
AFAP1L1	4.344145908010613e-08	2
AFAP1L2	8.09827171488148e-06	7
