gene	chr	start	end	expression_CCLE	replication_time	noncoding_mutation_rate	local_GC_content	HiC_compartment	local_gene_density	wgs_mean_depth	wgs_percent_20x	capture_on_target_rate	capture_mean_depth	capture_pct200	capture_mean_percentGC
A1BG	19	58858174	58864865	1621097	406	0.000003040755	0.47655	-0.02473951	40	37.75676	75	0.9251744	92.54754	11.6459	62.15492
A1CF	10	52566327	52645435	113129.1	613	0.000003307065	0.380165	0.01875195	7	48.56757	97.24324	0.9010063	120.5148	11.56393	42.18936
RBFOX1	16	6069132	7763340	2474.385	1138	0.000005747331	0.4153444	-0.04745312	1	43.64865	92.32432	0.6540505	155.7836	24.6459	48.02663
A2M	12	9220304	9268558	348388.7	364	0.000004201781	0.39321	0.0165296	13	53.86486	96.43243	0.8839786	90.54098	10.99672	45.2047
A2ML1	12	8975150	9029375	300253.5	407	0.000004998896	0.429065	0.01214808	15	57.10811	98.51351	0.8957272	168.2492	27.00984	47.31368
A4GALT	22	43088128	43116876	808038.2	168	0.000002243736	0.52356	0.071838	20	39.75676	76.94595	0.9312602	84.32459	8.118033	62.98516
A4GNT	3	137842560	137851229	190055.5	464	0.000003910954	0.43737	0.009230724	5	60.59459	98.67568	0.9434347	140.6033	16.47213	49.1963
AAAS	12	53701241	53715412	1701810	166	0.000002268577	0.50911	0.05811093	36	54.67568	98.54054	0.93323	158.2197	26.84918	54.61895
AACS	12	125549925	125627872	894670.3	306	0.000003519502	0.497515	0.01314078	7	50.72973	94	0.8536492	129.2918	17.3541	51.44861
AADAC	3	151531861	151546277	200469.6	526	0.000003099909	0.3627	0.00175527	11	64.48649	98.45946	0.9295868	125.2361	13.29836	39.1086
AADACL2	3	151451704	151475554	91028.23	611	0.000003162904	0.37591	-0.005292735	9	53.21622	90.81081	0.9353811	188.5902	32.45574	36.10207
AADACL3	1	12776118	12788726	145424	454	0.000004294391	0.48353	0.02278783	15	51.62162	98.7027	0.922346	180.0557	28.69508	48.3842
AADACL4	1	12704566	12727096	145424	454	0.000004294391	0.48353	0.02278783	15	53	99.43243	0.91991	176.6918	30.66557	49.88164
AADAT	4	170981374	171011372	132911.8	831	0.000004089318	0.41902	-0.01341362	6	43.59459	94.7027	0.8516639	133.6557	14.62295	38.88883
AAGAB	15	67493369	67547074	312038.6	320	0.000001946919	0.456425	0.04544143	11	50.21622	95	0.7846776	133.0492	20.32459	39.97869
AAK1	2	69685127	69870977	639466.2	309	0.000001855292	0.41643	0.034693	10	54.37838	97.18919	0.6974876	79.4623	8.003279	47.14659
AAMP	2	219128853	219134893	730654.2	197	0.000002121851	0.47081	0.03339527	9	48.64865	91.7027	0.9124238	133.5246	16.67213	57.5039
AANAT	17	74449433	74466198	1202221	197	0.000002301249	0.51119	0.02923115	34	47.51351	86.62162	0.8960312	81.24262	11.74426	62.51157
AARS	16	70286297	70323412	1335968	139	0.000003418642	0.47423	0.04184658	13	50.83784	96.72973	0.8985369	125.3836	14.96393	51.76406
AARS2	6	44266463	44281063	1037256	312	0.000002625426	0.5166	0.05410535	25	52.72973	93.86486	0.9147864	126.1148	17.11803	57.09394
AARSD1	17	41102545	41132545	1507064	201	0.000002166010	0.46506	0.02583375	41	54.89189	98.51351	0.8962967	205.5836	30.53115	49.05989
AASDH	4	57204459	57253638	639545.5	594	0.000002745325	0.41801	0.004546784	8	48.10811	93.83784	0.9122713	109.6197	9.419672	37.14746
AASDHPPT	11	105948292	105969419	86518.69	753	0.000004582401	0.37137	-0.01556708	5	44.45946	92.18919	0.8620405	114.2918	9.740984	37.56743
AASS	7	121713600	121784344	57654.62	988	0.000002880651	0.35626	-0.01319925	5	49.89189	95.94595	0.8977013	132.6656	14.76721	40.01509
AATF	17	35306175	35414170	668462.7	384	0.000002479090	0.444975	0.01553868	18	55.02703	97.18919	0.8681028	145.1311	20.53443	44.4903
ABAT	16	8768444	8878431	402778.2	358	0.000003282468	0.4705426	-0.01017323	5	46.64865	95.05405	0.8438248	125.9639	14.33115	51.11848
ABCA1	9	107543285	107690436	195112	637	0.000002678517	0.409375	-0.01821782	12	54.21622	98.91892	0.8829676	128.4557	15.87541	46.99214
