Gene Symbol	Gene Name	Mutated Tumor Samples	Ocogene score 	Tumor Suppressor Gene score 	Classification	Core pathway	Process
ABL1	c-abl oncogene 1, receptor tyrosine kinase	851	93%	0%	Oncogene	Cell Cycle/Apoptosis	Cell Survival
ACVR1B	activin A receptor, type IB	17	0%	42%	TSG	TGF-b 	Cell Survival
AKT1	v-akt murine thymoma viral oncogene homolog 1	155	93%	1%	Oncogene	PI3K	Cell Survival
ALK	anaplastic lymphoma receptor tyrosine kinase	189	72%	1%	Oncogene	PI3K; RAS	Cell Survival
APC	adenomatous polyposis coli	2561	2%	92%	TSG	APC	Cell Fate
AR	androgen receptor	23	54%	0%	Oncogene	Transcriptional Regulation	Cell Fate
ARID1A	AT rich interactive domain 1A (SWI-like)	234	1%	83%	TSG	Chromatin Modification	Cell Fate
ARID1B	AT rich interactive domain 1B (SWI1-like)	17	0%	50%	TSG	Chromatin Modification	Cell Fate
ARID2	AT rich interactive domain 2 (ARID, RFX-like)	45	0%	56%	TSG	Chromatin Modification	Cell Fate
ASXL1	additional sex combs like 1 (Drosophila)	442	5%	87%	TSG	Chromatin Modification	Cell Fate
ATM	similar to Serine-protein kinase ATM (Ataxia telangiectasia mutated) (A-T, mutated); ataxia telangiectasia mutated	242	24%	30%	TSG	DNA Damage Control	Genome Maintenance
ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	50	4%	47%	TSG	Chromatin Modification	Cell Fate
AXIN1	axin 1	117	20%	27%	TSG	APC	Cell Fate
B2M	beta-2-microglobulin	30	18%	39%	TSG	PI3K; RAS; MAPK	Cell Survival
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	99	8%	70%	TSG	DNA Damage Control	Genome Maintenance
BCL2	B-cell CLL/lymphoma 2	45	27%	1%	Oncogene	Cell Cycle/Apoptosis	Cell Survival
BCOR	BCL6 co-repressor	21	0%	70%	TSG	Transcriptional Regulation	Cell Fate
BRAF	v-raf murine sarcoma viral oncogene homolog B1	24288	100%	0%	Oncogene	RAS	Cell Survival
BRCA1	breast cancer 1, early onset	62	0%	69%	TSG	DNA Damage Control	Genome Maintenance
BRCA2	breast cancer 2, early onset	67	0%	30%	TSG	DNA Damage Control	Genome Maintenance
CARD11	caspase recruitment domain family, member 11	74	30%	1%	Oncogene	Cell Cycle/Apoptosis	Cell Survival
CASP8	caspase 8, apoptosis-related cysteine peptidase	21	0%	52%	TSG	Cell Cycle/Apoptosis	Cell Survival
CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	168	57%	9%	Oncogene	PI3K; RAS	Cell Survival
CDC73	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	45	4%	78%	TSG	Cell Cycle/Apoptosis	Cell Survival
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	200	14%	52%	TSG	APC	Cell Fate
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	968	32%	49%	TSG	Cell Cycle/Apoptosis	Cell Survival
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	448	30%	54%	TSG	PI3K; RAS; MAPK	Cell Survival
CIC	capicua homolog (Drosophila)	47	12%	31%	TSG	RAS	Cell Survival
CREBBP	CREB binding protein	151	24%	34%	TSG	Chromatin Modification; Transcriptional Regulation	Cell Fate
CRLF2	cytokine receptor-like factor 2	10	100%	0%	Oncogene	STAT	Cell Survival
CSF1R	colony stimulating factor 1 receptor	48	50%	15%	Oncogene	PI3K; RAS	Cell Survival
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	3262	92%	1%	Oncogene	APC	Cell Fate
CYLD	cylindromatosis (turban tumor syndrome)	26	0%	85%	TSG	Cell Cycle/Apoptosis	Cell Survival
DAXX	death-domain associated protein	28	7%	61%	TSG	Chromatin Modification; Cell Cycle/Apoptosis	Cell Fate
DNMT1	DNA (cytosine-5-)-methyltransferase 1	22	36%	5%	Oncogene	Chromatin Modification	Cell Fate
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	788	74%	12%	Oncogene	Chromatin Modification	Cell Fate
